REGION,ILL,RECOVERED,WELL,TOTAL,POPULATION,INSEE,TARGET,TARGET_PERCENT
Île-de-France,30.0,154.0,999.0,1183.0,12246234,11,204,579
Pays de la Loire,7.0,77.0,677.0,761.0,3787411,52,63,1207
Auvergne-Rhône-Alpes,1.0,29.0,264.0,294.0,8037059,84,133,221
Nouvelle-Aquitaine,0.0,12.0,186.0,198.0,5994336,75,99,200
Occitanie,4.0,14.0,155.0,173.0,5903190,76,98,176
Bretagne,5.0,16.0,150.0,171.0,3336643,53,55,310
Normandie,1.0,7.0,147.0,155.0,3342467,28,55,281
Hauts-de-France,2.0,17.0,133.0,152.0,6023336,32,100,152
Grand Est,1.0,15.0,111.0,127.0,5548090,44,92,138
Provence-Alpes-Côte d'Azur,2.0,9.0,88.0,99.0,5065723,93,84,117
Centre-Val de Loire,0.0,7.0,74.0,81.0,2582522,24,43,188
Bourgogne-Franche-Comté,1.0,2.0,37.0,40.0,2813289,27,46,86
Corse,0.0,0.0,1.0,1.0,337796,94,5,20
Guadeloupe,0.0,0.0,0.0,0.0,390704,1,6,0
Guyane,0.0,0.0,0.0,0.0,281612,3,4,0
Martinique,0.0,0.0,0.0,0.0,371246,2,6,0
Mayotte,0.0,0.0,0.0,0.0,259154,6,4,0
La Réunion,0.0,0.0,0.0,0.0,865826,4,14,0
