Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;Libell_d_acheminement;coordonnees_gps
01001;L ABERGEMENT CLEMENCIAT;01400;;L ABERGEMENT CLEMENCIAT;L ABERGEMENT CLEMENCIAT;46.1534255214,4.92611354223
01005;AMBERIEUX EN DOMBES;01330;;AMBERIEUX EN DOMBES;AMBERIEUX EN DOMBES;45.9961799872,4.91227250796
01009;ANDERT ET CONDON;01300;;ANDERT ET CONDON;ANDERT ET CONDON;45.7873565333,5.65788307924
01017;ARGIS;01230;;ARGIS;ARGIS;45.9337182132,5.48251100314
01019;ARMIX;01510;;ARMIX;ARMIX;45.8541838459,5.58357838695
01029;BEAUPONT;01270;;BEAUPONT;BEAUPONT;46.4288360203,5.26003405676
01033;VALSERHONE;01200;OCHIAZ;VALSERHONE;VALSERHONE;46.1067901755,5.83202736464
01038;BENY;01370;;BENY;BENY;46.3188629218,5.28253433405
01043;BEYNOST;01700;;BEYNOST;BEYNOST;45.8390325448,4.99738002182
01044;BILLIAT;01200;;BILLIAT;BILLIAT;46.0791346715,5.76591818163
01047;BLYES;01150;;BLYES;BLYES;45.8469686113,5.25166055884
01049;LA BOISSE;01120;;LA BOISSE;LA BOISSE;45.8446213549,5.02783224111
01050;BOISSEY;01380;;BOISSEY;BOISSEY;46.3727973545,4.9989764059
01061;BRENS;01300;;BRENS;BRENS;45.7135069062,5.68998154517
01063;BRION;01460;;BRION;BRION;46.1686327301,5.54656422194
01065;BUELLAS;01310;CORGENON;BUELLAS;BUELLAS;46.2104135162,5.14487465017
01094;CHAVANNES SUR REYSSOUZE;01190;;CHAVANNES SUR REYSSOUZE;CHAVANNES SUR REYSSOUZE;46.4379785193,5.00693749662
01095;NIVIGNE ET SURAN;01250;CHAVANNES SUR SURAN;NIVIGNE ET SURAN;NIVIGNE ET SURAN;46.2750157946,5.41649423093
01114;CONFORT;01200;;CONFORT;CONFORT;46.1543700156,5.83319395258
01116;CONTREVOZ;01300;;CONTREVOZ;CONTREVOZ;45.8009403071,5.62087768159
01125;CORVEISSIAT;01250;;CORVEISSIAT;CORVEISSIAT;46.2505107235,5.47152467919
01134;CROTTET;01290;;CROTTET;CROTTET;46.283072336,4.87747971182
01135;CROZET;01170;;CROZET;CROZET;46.2915659686,5.99510417092
01143;DIVONNE LES BAINS;01220;;DIVONNE LES BAINS;DIVONNE LES BAINS;46.3756333495,6.1158647611
01147;DOMSURE;01270;;DOMSURE;DOMSURE;46.4244066427,5.29313479651
01152;ECHALLON;01130;;ECHALLON;ECHALLON;46.2271364137,5.73330448395
01155;EVOSGES;01230;;EVOSGES;EVOSGES;45.965147537,5.50283599885
01156;FARAMANS;01800;;FARAMANS;FARAMANS;45.9104942091,5.1249258559
01158;FARGES;01550;;FARGES;FARGES;46.166230455,5.90019477201
01162;FLAXIEU;01350;;FLAXIEU;FLAXIEU;45.8113298005,5.74459048839
01165;FRANCHELEINS;01090;;FRANCHELEINS;FRANCHELEINS;46.0735946256,4.81293575559
01167;GARNERANS;01140;;GARNERANS;GARNERANS;46.2136224825,4.82843188743
01170;BEARD GEOVREISSIAT;01460;;BEARD GEOVREISSIAT;BEARD GEOVREISSIAT;46.1896733539,5.55139781353
01177;GRAND CORENT;01250;;GRAND CORENT;GRAND CORENT;46.207387937,5.43318666027
01187;HAUT VALROMEY;01260;LE GRAND ABERGEMENT;HAUT VALROMEY;HAUT VALROMEY;46.0317412192,5.70267027388
01196;JAYAT;01340;;JAYAT;JAYAT;46.3660828991,5.11429701617
01199;JUJURIEUX;01640;;JUJURIEUX;JUJURIEUX;46.0497041467,5.41094771899
01209;LEAZ;01200;;LEAZ;LEAZ;46.1086518044,5.87649017888
01213;LEYMENT;01150;;LEYMENT;LEYMENT;45.9269989549,5.2947657235
01229;MALAFRETAZ;01340;;MALAFRETAZ;MALAFRETAZ;46.3295545661,5.14386299599
01231;MANZIAT;01570;;MANZIAT;MANZIAT;46.3643830585,4.90242777155
01236;MARSONNAS;01340;;MARSONNAS;MARSONNAS;46.3409117711,5.06434294764
